taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هي ديه كانت جملة تدريبية؟,9,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هي ديه كمان كانت جملة تدريبية؟,9,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو ممكن ترمش و الجملة على الشاشة؟,7,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو يمكن تبص للجنب؟,7,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو حيكون في جمل تدريبية تنية؟,7,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو الرسام بيتمرن في المعهد؟,7,1,BVA.76,كل رسام صبور بيمرن نفسه في الورشة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,2,congruent.31,بعد ما اتسرق اتصل الضحية بالبوليس.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,NP.16,كل عروسة جديدة بتدلع العريس قبل الفرح.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,2,BA.46,لما هو كان في الموقع المهندس راجع التصميم.,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
هو الست نسيت حاجة في البيت؟,9,2,in-situ.26,هو كانت الست المستعجلة نسيت ايه في البيت فوق؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,2,Control.31,لما أنا كنت في المستشفى الدكتور عالج العيان.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
