taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,6,practice,这是 第一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
这是不是也是一句测试句子？,9,6,practice,这是 另一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,重要的是 请 全程 保持 你的 头部 不动。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,同时 请 尽量 不要 在 句子 出现的 过程中 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可不可以在句子出现过程中眨眼？,7,6,practice,你 可以 在 句子 全部 出现后 或 回答 问题 时 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,你 应该 尝试 尽可能地 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可以看向画面两边吗？,7,6,practice,请 将 目光 保持在 画面 中心 的 方框 中。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,尽量 保持 脸部 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,practice,现在 你 可以 向 我们 提出 任何 疑问。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
还会有更多的测试句子吗？,7,6,practice,这是 最后 一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,incongruent.44,我 一般 不 抽 篮球。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,yesno.74,小吴 想知道 那个 寺庙的 大师 读了 那篇 经文 给 中学的 学生 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.74,那个 销售 买菜 的时候 说 自己 讲了 优惠的 价格。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,insitu.44,雷纳 想知道 那个 别墅的 管家 带了 什么 给 中学的 外教。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
医生说自己做了反复的测试吗？,9,6,BVA.29,每个 医生 看病 的时候 都 说 自己 做了 反复的 测试。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.59,野餐 被 大雨 打断了。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,RA.14,那个 指挥 演出 的时候 说 自己 听了 动听的 音乐。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,thehell.14,凯文 想知道 那个 乐园的 导游 到底 讲了 什么 给 鬼屋的 游客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
凯伦喝了一罐汽水吗？,7,6,incongruent.14,凯伦 喝了 一罐 香水。,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition3.119,每个 边检 敲章 的时候 都 说 海关官员 问了 相关的 问题。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,insitu.89,老赵 想知道 那个 游艇的 船长 丢了 什么 给 海里的 动物。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
新闻记者读了糟糕的稿件吗？,9,6,condition4.44,那个 编辑 改稿 的时候 说 新闻记者 读了 糟糕的 稿件。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.29,汪姨 想知道 那个 酒店的 前台 丢了 那台 手机 给 汽车的 技师 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
院长还在任吗？,7,6,condition3.59,每个 院长 卸任 的时候 都 说 公关部长 做了 大胆的 改革。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,thehell.59,帕特 想知道 那个 片场的 制片 到底 分了 什么 给 会场的 翻译。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,BVA.89,每个 国王 加冕 的时候 都 说 自己 戴了 华美的 王冠。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.29,他们 在农场里 养 猪。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition4.104,那个 政客 选举 的时候 说 政府部门 有了 远大的 计划。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6,thehell.53,瑞秋 想知道 那个 军队的 士兵 到底 借了 什么 给 航母的 水手。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
宿管巡逻吗？,9,6,condition3.53,每个 宿管 巡逻 的时候 都 说 教导主任 抓了 调皮的 学生。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,yesno.68,珍妮 想知道 那个 冰场的 游客 喂了 那根 肉肠 给 汪远的 小狗 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,BVA.23,每个 前台 面试 的时候 都 说 自己 涂了 亮眼的 口红。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
肥料让土地变得贫瘠吗？,7,6,congruent.23,肥料 让 土地 变得 肥沃。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,6,insitu.83,凯文 想知道 那个 宾馆的 前台 寄了 什么 给 港口的 海关。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition4.38,那个 助理 展示 的时候 说 文案策划 讲了 生动的 故事。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,6,congruent.53,那艘船 轻松的 穿过了 桥洞。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition3.113,每个 法务 谈判 的时候 都 说 我方客户 给了 最高的 报价。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,incongruent.38,父亲 用 刀 杀了 一只 梨。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
儿子是皇帝的儿子吗？,7,6,thehell.08,麦克 想知道 那个 学生的 朋友 到底 买了 什么 给 教授的 儿子。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,BVA.83,每个 护士 学习 的时候 都 说 自己 背了 全部的 条例。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,yesno.23,李四 想知道 那个 队伍的 教练 发了 那份 战术 给 红队的 队员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,6,RA.68,那个 邻居 出门 的时候 说 自己 看了 空荡的 信箱。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,6,incongruent.08,哈尔 给 她 写了 一封 喷泉。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,6,insitu.38,乔伊 想知道 那个 游戏的 玩家 拿了 什么 给 电视的 主持。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,6,condition4.98,那个 小孩 玩耍 的时候 说 邻居哥哥 滑了 很高的 滑梯。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
