taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,,2,practice,这是 第一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
这是不是也是一句测试句子？,9,2,practice,这是 另一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,practice,重要的是 请 全程 保持 你的 头部 不动。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,practice,同时 请 尽量 不要 在 句子 出现的 过程中 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可不可以在句子出现过程中眨眼？,7,2,practice,你 可以 在 句子 全部 出现后 或 回答 问题 时 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,practice,你 应该 尝试 尽可能地 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可以看向画面两边吗？,7,2,practice,请 将 目光 保持在 画面 中心 的 方框 中。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,practice,尽量 保持 脸部 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,practice,现在 你 可以 向 我们 提出 任何 疑问。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
还会有更多的测试句子吗？,7,2,practice,这是 最后 一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,incongruent.15,摩托车 会 发出 很多 毛发。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,2,yesno.15,露丝 想知道 那个 剧场的 导演 还了 那本 剧本 给 舞剧的 演员 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,2,RA.75,那个 会长 聚会 的时候 说 自己 喝了 醇厚的 白酒。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,2,yesno.60,保罗 想知道 那个 球队的 球员 带了 那盒 工具 给 学院的 画家 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
他们昨天去划船了吗？,9,2,congruent.30,他们 昨天 去 划了 船。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
,,2,thehell.90,杰瑞 想知道 那个 医院的 医生 到底 买了 什么 给 公寓的 邻居。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,2,condition3.120,每个 机务 检修 的时候 都 说 油车司机 装了 足够的 燃油。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,2,insitu.75,阿秋 想知道 那个 街区的 居民 分了 什么 给 站点的 小猫。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
