order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,هل هذي كانت جملة تدريب؟,9,1,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل هذي كانت بعد جملة تدريب؟,9,1,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر ترمش خلال الجملة؟,7,1,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,لازم  تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر تشوف بطرف عينك؟,7,1,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,1,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل بيكون في أي جمل تدريب ثانية؟,7,1,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,الفرو أبيض؟,9,1,congruent.16,قطوتي مغطاية بفرو أبيض.,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2,,,1,RA.19,الدكتور المخطئ يعاتب نفسه بعد العمليات.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,آلأذاعة مسائيه؟,7,1,fronting.01,شو كان المذيع اللبق يسأل في الاذاعة الصباحية؟ ,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4,,,1,incongruent.31,"عقب ما انسرقوا، الضحية اتصلت بالميل.",22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
5,,,1,BA.3,"يوم هو كان في الموقع، المهندس فحص التصنيع.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
6,,,1,BVA.53,كل طباخة محترفه تاكل نفسها من الطبخة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
7,,,1,Control.46,"يوم أنا كنت في المستشفى، الدكتور عالج المريض.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8,,,1,yn.21,كان السماج الشجاع ينقذ ربيعة في وسط البحر؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,,,1,NP.78,كل ريال غني يدلع العمال بعد الشقى.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
10,رسم في الشخابيط؟,9,1,BVA.70,كل ولد صغير يرسم نفسه في الشخابيط.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
11,,,1,fronting.72,شو كانت المعلمة البشوشه تغني في طابور الصباح؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
