order,taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
,هل هذي كانت جملة تدريب؟,9,4,practice,هذي أول جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل هذي كانت بعد جملة تدريب؟,9,4,practice,وهذي جملة تدريب ثانيه.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,4,practice,الحيلة هي أن تخلي رأسك ثابت تماما طول الوقت.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,4,practice,لو سمحت حاول ما ترمش خلال الجملة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر ترمش خلال الجملة؟,7,4,practice,تقدر ترمش بعد الجملة وخلال الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,4,practice,لازم تحاول ترتاح قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل تقدر تشوف بطرف عينك؟,7,4,practice,حط عينك على الصندوق اللي في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,4,practice,وحاول تخلي ويهك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,4,practice,خذ لحظة عشان تسأل أي سؤال ممكن يكون عندك.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,هل بيكون في أي جمل تدريب ثانية؟,7,4,practice,هذي آخر جملة تدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,4,cleft.59,شو اللي كانت الطباخة المحبوبة تطبخه في البرنامج المباشر؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,,,4,congruent.07,ساره جبتلها الكورنفلكس في الملة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
3,,,4,NP.26,كل طفل صغير يأكل لعبته في الحضانة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4,الوزير قابل الرئيس؟,9,4,BA.52,"يوم هو كان في العاصمة، الوزير قابل الرئيس.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
5,,,4,congruent.22,الأولاد ساعدوا مهرة تلمع سيارتها.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
6,الشاعرة توصف حد؟,9,4,cleft.82,منو اللي كانت الشاعره الحساسه توصفه في الديوان المشهور؟,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7,,,4,BVA.47,كل طالبة مجتهده تكافئ نفسها بعد الامتحان.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8,,,4,Control.13,"يوم أنا كنت في المكتب، المدير نظم الاجتماعات.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,,,4,yn.40,كان المعلم الشديد يهزب الطلاب في الصف الصبح؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
10,,,4,incongruent.52,حنفية الحمام قامت المكتبة.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
11,,,4,fronting.02,منو كانت البنت المسطله تزقر في مسيد المحطه؟ ,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
12,الرياضي يشجع المنافسين؟,7,4,RA.66,الرياضي المتحمس يشجع نفسه في المباراة.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
13,,,4,fronting.13,شو كان المغامر الخواف يسمع في البيت المسكون؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
14,,,4,RA.77,الممثلة الصوتية تسمع نفسها في الأفلام.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
15,,,4,BVA.07,كل شخص خواف يقنع نفسه قبل التجربة.,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
16,,,4,incongruent.37,"كل يوم اثنين، المزارع يقص المخزن.",22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
17,,,4,yn.35,كان التاجر النصاب يبيع فواكة في سوق الخضرة؟,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
18,,,4,BA.37,"يوم هي كانت في الموقع، الممثلة عارضت الكاتب.",34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
19,الممثلة رفضت تمثل؟,7,4,Control.14,"يوم أنا كنت في المسرح، الممثلة مثلت الدور.",33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
20,,,4,NP.69,كل أم متوترة تحاسب العيال على الحادث.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
21,,,4,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,كلنا فراخ بالزبدة؟,9,4,congruent.06,وقت الفلم كلنا فراخ بالزبدة.,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
23,الشاب يوعان؟,7,4,fronting.12,شو كان الشاب الشبعان يتريا عند كاشير المطعم؟,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
24,,,4,incongruent.51,السنة الدراسية بدت في الجسر.,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
