Color,ObjectPrompt,Object,CatchQuestion,CorrectAnswer
grey,a grey wolf,wolf,Is it an animal?,YES
green,a green snake,snake,Is it an animal?,YES
blue,a blue shirt,shirt,Is it a cloth?,YES
purple,a purple dress,dress,Is it a cloth?,YES
brown,a brown dog,dog,Is it an animal?,YES
orange,an orange pepper,pepper,Is it a food?,YES
red,a red scarf,scarf,Is it a cloth?,YES
grey,a grey sweater,sweater,Is it a cloth?,YES
yellow,a yellow corn,corn,Is it a food?,YES
green,a green basket,basket,Is it a tool?,YES
silver,a silver knife,knife,Is it a tool?,YES
blue,a blue bottle,bottle,Is it a tool?,YES
black,a black suit,suit,Is it a cloth?,YES
purple,a purple cake,cake,Is it a food?,YES
brown,a brown suitcase,suitcase,Is it a tool?,YES
orange,an orange chair,chair,Is it a furniture?,YES
green,a green broccoli,broccoli,Is it a food?,YES
silver,a silver fork,fork,Is it a tool?,YES
purple,a purple hoodie,hoodie,Is it a cloth?,YES
brown,a brown table,table,Is it a furniture?,YES
red,a red mailbox,mailbox,Is it a food?,NO
grey,a grey coat,coat,Is it a food?,NO
red,a red rose,rose,Is it an animal?,NO
yellow,a yellow taxi,taxi,Is it a cloth?,NO
silver,a silver ring,ring,Is it a food?,NO
black,a black spider,spider,Is it a tool?,NO
yellow,a yellow glove,glove,Is it an animal?,NO
blue,a blue door,door,Is it a cloth?,NO
black,a black laptop,laptop,Is it a food?,NO
purple,a purple towel,towel,Is it an animal?,NO
brown,a brown cookie,cookie,Is it a furniture?,NO
orange,an orange sock,sock,Is it a furniture?,NO
red,a red balloon,balloon,Is it a food?,NO
grey,a grey rock,rock,Is it a cloth?,NO
yellow,a yellow hat,hat,Is it an animal?,NO
green,a green parrot,parrot,Is it a cloth?,NO
silver,a silver lamp,lamp,Is it a food?,NO
blue,a blue ruler,ruler,Is it a cloth?,NO
black,a black wallet,wallet,Is it a furniture?,NO
orange,an orange sofa,sofa,Is it a food?,NO
