taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
هي ديه كانت جملة تدريبية؟,9,,practice,ديه هي جملتك التدريبية الأولى.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هي ديه كمان كانت جملة تدريبية؟,9,,practice,و ديه جملة تنية للتدريب.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,مهم انك تخلي رأسك ثابتة الوقت كلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ومن فضلك حاول مترمش لما تشوف الجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو ممكن ترمش و الجملة على الشاشة؟,7,,practice,ممكن الرمش بعد الجملة وأثناء الأسئلة!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,ولازم كمان تحاول تسترخي قدر الإمكان.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو يمكن تبص للجنب؟,7,,practice,حافظ على تركيز عينيك على الصندوق الموجود في النص.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,وحاول تخلي وشك مسترخي.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,practice,خذ لحظة عشان تسأل أي أسئلة.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هو حيكون في جمل تدريبية تنية؟,7,,practice,ده هو المثال الأخير للجمل.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,in-situ.57,هو كان الراجل الشبعان مستني مين عند كاشير المطعم؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,2,congruent.45,من سوء الحظ المشي تحت السلالم.,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,2,NP.75,كل شخص جبان بيشجع الولاد قبل المواجهة.,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
هو كان الطالب الذكي بيذاكر في الفصل؟,7,2,in-situ.60,هو كان الطالب الذكي بيحل ايه في قاعة الامتحان؟,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,2,Control.45,لما أنا كنت في القسم الضابط حيا النقيب.,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,2,RA.90,المدمن المتعالج بيعاقب نفسه عشان الغلط.,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,2,incongruent.15,المتسكل ممكن يعمل فرو.,20,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
