taskQuestion,correctAnswer,list,condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
这是不是一句测试句子？,9,1,practice,这是 第一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
这是不是也是一句测试句子？,9,1,practice,这是 另一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,practice,重要的是 请 全程 保持 你的 头部 不动。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,practice,同时 请 尽量 不要 在 句子 出现的 过程中 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可不可以在句子出现过程中眨眼？,7,1,practice,你 可以 在 句子 全部 出现后 或 回答 问题 时 眨眼。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,practice,你 应该 尝试 尽可能地 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你可以看向画面两边吗？,7,1,practice,请 将 目光 保持在 画面 中心 的 方框 中。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,practice,尽量 保持 脸部 放松。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,practice,现在 你 可以 向 我们 提出 任何 疑问。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
还会有更多的测试句子吗？,7,1,practice,这是 最后 一句 测试 句子。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,condition4.76,那个 商人 交易 的时候 说 税务顾问 做了 果断的 决策。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.31,那个 受害者 在 被抢劫 之后 去了 警察局。,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
店主有财务顾问吗？,9,1,condition3.31,每个 店主 开店 的时候 都 说 财务顾问 算了 盈利的 价格。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.16,我的 猫 浑身 都是 白色 的 面包。,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
花店老板剪了很少的花瓣吗？,7,1,condition4.16,那个 花匠 训练 的时候 说 花店老板 剪了 无数的 花瓣。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.31,朱莉 想知道 那个 法官的 保姆 卖了 那支 口红 给 超市的 收银 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.46,乔安 泡了 给 宝宝 的 桌子。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,thehell.61,伊森 想知道 那个 诊所的 专家 到底 退了 什么 给 海边的 渔夫。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,congruent.01,一只 会下蛋的 鸡 叫做 母鸡。,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
裁判说自己做了错误的判罚吗？,7,1,RA.46,那个 裁判 比赛 的时候 说 自己 做了 正确的 判罚。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,insitu.46,大卫 想知道 那个 杂志的 编辑 教了 什么 给 报社的 记者。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition3.91,每个 财阀 调查 的时候 都 说 律师团队 有了 制胜的 证据。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,yesno.76,鲍勃 想知道 那个 面馆的 师傅 带了 那包 辣椒 给 教堂的 修女 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,BVA.01,每个 学生 下课 的时候 都 说 自己 吃了 好吃的 苹果。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
小王有妈妈吗？,9,1,insitu.01,约翰 想知道 那个 学校的 员工 寄了 什么 给 小王的 妈妈。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,RA.106,那个 军官 演讲 的时候 说 自己 受了 严格的 训练。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,thehell.16,凯特 想知道 那个 机场的 保洁 到底 读了 什么 给 乘客的 女儿。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,BVA.61,每个 修女 朝拜 的时候 都 说 自己 走了 很长的 距离。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,condition3.32,每个 教练 开课 的时候 都 说 铁路工人 举了 沉重的 哑铃。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,incongruent.17,纽约 是 一座 忙碌 的 奶油。,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
公司的老板带了什么给小明的妹妹吗？,7,1,insitu.02,玛丽 想知道 那个 公司的 老板 带了 什么 给 小明的 弟弟。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition3.92,每个 地主 交易 的时候 都 说 助理会计 做了 提前的 计算。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,yesno.32,艾比 想知道 那个 诊所的 大夫 喂了 那块 面包 给 教堂的 牧师 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.107,那个 邮差 送信 的时候 说 自己 开了 全新的 摩托。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.47,约翰 给 钢笔 灌了 火柴。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
村委书记打了发臭的井水吗？,7,1,condition4.17,那个 农民 耕种 的时候 说 村委书记 打了 甘甜的 井水。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,yesno.77,麦克 想知道 那个 山东的 老板 退了 那箱 鱼干 给 舟山的 渔夫 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.47,那个 主播 下播 的时候 说 自己 收了 昂贵的 礼物。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,congruent.32,晚餐后 他们 洗了 碗。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,BVA.62,每个 渔夫 捕鱼 的时候 都 说 自己 撒了 结实的 渔网。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.62,科尔 想知道 那个 花店的 花匠 到底 教了 什么 给 码头的 保安。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
我喝咖啡的时候加牛奶吗？,9,1,congruent.02,我 喝咖啡 的时候 会 加 糖 和 牛奶。,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.77,那个 游客 坐车 的时候 说 团队导游 看了 壮丽的 风景。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,1,thehell.17,裘德 想知道 那个 酒庄的 农民 到底 分了 什么 给 酒店的 游客。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
厨师说自己买了好看的围裙吗？,9,1,BVA.02,每个 厨师 上班 的时候 都 说 自己 买了 好看的 围裙。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,insitu.47,苏珊 想知道 那个 银行的 高管 发了 什么 给 明星的 经纪。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,,,break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
员工说自己吃了美味的炒面吗,9,1,BVA.03,每个 员工 吃饭 的时候 都 说 自己 吃了 美味的 炒面。,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,congruent.33,地球的 公转 围绕着 太阳。,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,condition4.78,那个 美工 作画 的时候 说 动物学家 找了 可靠的 参考。,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
木匠是学院的木匠吗？,7,1,yesno.33,琳达 想知道 那个 工厂的 木匠 借了 那个 键盘 给 外科的 医生 吗？,129,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,RA.108,那个 兽医 诊治 的时候 说 自己 见了 众多的 病人。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,insitu.48,丽萨 想知道 那个 化工的 企业 捐了 什么 给 郊区的 工人。,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.48,约翰 用 扫帚 打扫了 鸡腿。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
果园有果农吗？,9,1,thehell.18,塞斯 想知道 那个 果园的 果农 到底 带了 什么 给 女婿的 父亲。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,incongruent.18,小王 站上了 洗手间 的 过山车。,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
,,1,condition3.93,每个 公主 换装 的时候 都 说 服装顾问 买了 可爱的 洋服。,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,,1,congruent.03,训练前 杰克 总是 拉伸 他的 肌肉。,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
,,1,RA.48,那个 教练 训练 的时候 说 自己 给了 足够的 帮助。,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,1,thehell.63,罗莎 想知道 那个 市场的 托尼 到底 发了 什么 给 警局的 哈维。,130,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
